MD,imp,por
259.027,4024.83,0.3704
263.026,4024.83,0.3704
267.027,4024.83,0.3704
271.03,4024.83,0.3704
275.033,4024.83,0.3704
279.039,4024.83,0.3704
283.046,4024.83,0.3704
287.055,4024.83,0.3704
291.065,4024.83,0.3704
295.077,4024.83,0.3704
299.091,4024.83,0.3704
303.106,4024.83,0.3704
307.044,4024.83,0.3704
310.915,4024.83,0.3704
314.788,4024.83,0.3704
318.702,4024.83,0.3704
322.626,4024.83,0.3704
326.521,4024.83,0.3704
330.365,4024.83,0.3704
334.206,4024.83,0.3704
338.078,4024.83,0.3704
341.917,4024.83,0.3704
345.747,4024.83,0.3704
349.706,4024.83,0.3704
353.85,4024.83,0.3704
358.088,4024.83,0.3704
362.212,4024.83,0.3704
366.196,4024.83,0.3704
370.122,4024.83,0.3704
374.006,4024.83,0.3704
377.899,4024.83,0.3704
381.763,4024.83,0.3704
385.594,4024.83,0.3704
389.453,4024.83,0.3704
393.382,4024.83,0.3704
397.339,4024.83,0.3704
401.281,4024.83,0.3704
405.173,4024.83,0.3725
409.122,4037.11,0.3406
413.09,4063.47,0.3571
417.11,4046.41,0.3598
421.176,4034.3,0.3611
425.241,4055.98,0.316
429.295,3940.35,0.3635
433.399,3793.44,0.3744
437.411,3707.03,0.4242
441.322,3593.28,0.3552
445.172,3604.57,0.3654
449.174,4021.37,0.3933
453.105,4363.45,0.384
456.984,3958.55,0.363
460.84,3555.65,0.3628
464.714,3681.78,0.3583
468.253,3877.4,0.3729
471.552,3885.0,0.3408
474.641,3906.56,0.3498
477.742,4118.58,0.4069
480.913,4290.4,0.3924
484.264,3969.49,0.3518
487.457,4034.08,0.3894
490.615,4488.29,0.3575
493.809,5032.74,0.3631
497.132,4806.78,0.3843
500.53,4003.37,0.3598
503.921,3956.93,0.3578
507.695,4176.76,0.4424
511.525,4233.75,0.3594
515.161,4386.27,0.3309
518.382,5007.65,0.348
521.663,5452.77,0.3246
525.006,5296.76,0.3723
528.096,4677.64,0.3707
531.237,4032.24,0.3607
534.46,3672.23,0.3708
538.136,3750.52,0.3739
541.94,4149.62,0.3691
545.79,4243.75,0.3501
549.669,4215.29,0.3619
553.574,4832.98,0.3317
557.391,5227.0,0.3428
561.165,4594.83,0.4026
564.957,3986.83,0.3592
568.768,4013.92,0.3942
572.534,3388.63,0.3773
576.283,2267.08,0.3534
580.038,2161.18,0.3334
583.833,2749.25,0.3536
587.632,3003.01,0.363
591.377,3092.94,0.3494
595.03,3476.52,0.3513
598.639,3820.06,0.33
602.377,3758.72,0.3426
606.211,4165.5,0.3178
610.088,5098.79,0.3329
614.042,4999.98,0.3477
617.686,5010.11,0.3607
621.307,5692.41,0.3296
625.078,6107.52,0.3273
629.082,6155.22,0.3193
633.165,6092.65,0.3471
637.296,6010.93,0.3261
641.489,5181.81,0.342
645.788,4288.26,0.3072
650.204,4555.79,0.3361
654.446,4896.53,0.3525
658.762,4354.55,0.3808
663.076,3936.92,0.3491
667.443,3904.59,0.3247
671.757,3903.02,0.3066
675.933,3841.28,0.3241
680.104,4011.58,0.3018
684.028,4180.66,0.3189
687.644,4217.11,0.3125
691.17,4279.24,0.3055
694.719,4321.38,0.3079
698.281,4480.58,0.3016
701.907,4538.87,0.3096
705.593,4608.53,0.3077
709.279,4711.52,0.3059
712.964,4642.43,0.3125
716.605,4306.05,0.3207
720.188,4070.26,0.3266
723.726,4062.01,0.317
727.263,4259.56,0.3176
730.801,4408.47,0.3246
