MD,imp,por
544.5,3870.52,0.4262
545.0,3944.06,0.4161
545.5,4016.92,0.3823
546.0,4060.5,0.4383
546.5,4063.55,0.4748
547.0,4066.59,0.5138
547.5,4069.64,0.5783
548.0,4072.69,0.4457
548.5,4075.74,0.4377
549.0,4078.79,0.4672
549.5,4081.84,0.3612
550.0,4032.38,0.3649
550.5,3956.75,0.3767
551.0,3881.13,0.3473
551.5,3805.51,0.3279
552.0,3729.88,0.3036
552.5,3654.26,0.3206
553.0,3578.63,0.3092
553.5,3503.01,0.3346
554.0,3548.08,0.3572
554.5,3614.06,0.3559
555.0,3680.04,0.3343
555.5,3748.51,0.352
556.0,3816.98,0.3902
556.5,3885.45,0.3342
557.0,3953.91,0.3321
557.5,4042.8,0.3838
558.0,4205.35,0.3713
558.5,4367.9,0.3321
559.0,4530.44,0.3649
559.5,4692.99,0.4526
560.0,4855.54,0.4046
560.5,5016.97,0.4888
561.0,5178.4,0.4139
561.5,5169.49,0.3466
562.0,5076.46,0.3483
562.5,4983.42,0.3289
563.0,4890.39,0.3513
563.5,4797.36,0.4247
564.0,4704.33,0.4079
564.5,4611.3,0.4148
565.0,4522.69,0.3815
565.5,4481.47,0.4256
566.0,4440.25,0.3587
566.5,4399.03,0.3605
567.0,4357.8,0.344
567.5,4316.58,0.3511
568.0,4275.36,0.3547
568.5,4234.14,0.3639
569.0,4273.84,0.4173
569.5,4407.08,0.3875
570.0,4540.32,0.4077
570.5,4675.92,0.405
571.0,4811.53,0.3652
571.5,4947.13,0.3565
572.0,5082.73,0.3516
572.5,5218.33,0.3762
573.0,5181.96,0.3449
573.5,5132.93,0.3736
574.0,5083.9,0.3503
574.5,5034.88,0.3486
575.0,4985.85,0.3403
575.5,4936.96,0.3754
576.0,4888.08,0.3605
576.5,4793.39,0.3609
577.0,4639.17,0.3504
577.5,4484.96,0.3343
578.0,4330.74,0.3506
578.5,4176.52,0.365
579.0,4022.31,0.3969
579.5,3868.09,0.3669
580.0,3713.87,0.366
580.5,3764.05,0.3571
581.0,3831.09,0.3548
581.5,3898.14,0.3547
582.0,3965.18,0.345
582.5,4032.22,0.3514
583.0,4099.27,0.3426
583.5,4166.31,0.3316
584.0,4244.1,0.3365
584.5,4343.4,0.3379
585.0,4442.69,0.3455
585.5,4541.85,0.345
586.0,4641.01,0.3436
586.5,4740.17,0.3372
587.0,4839.33,0.3473
587.5,4938.48,0.3573
588.0,4898.61,0.3504
588.5,4808.94,0.3539
589.0,4719.28,0.4239
589.5,4629.62,0.45
590.0,4539.96,0.3818
590.5,4446.7,0.3158
591.0,4353.44,0.3243
591.5,4282.56,0.3505
592.0,4280.03,0.3832
592.5,4277.5,0.3639
593.0,4274.97,0.4197
593.5,4272.43,0.3848
594.0,4269.9,0.4345
594.5,4267.37,0.41
595.0,4264.84,0.4758
595.5,4283.67,0.4529
596.0,4303.87,0.4453
596.5,4324.06,0.4963
597.0,4344.25,0.5587
597.5,4364.44,0.5536
598.0,4384.63,0.548
598.5,4404.82,0.552
599.0,4400.88,0.6393
599.5,4387.68,0.5282
600.0,4374.48,0.4506
600.5,4362.01,0.4529
601.0,4349.53,0.459
601.5,4337.05,0.4573
602.0,4324.57,0.4392
602.5,4314.83,0.437
603.0,4313.45,0.3874
603.5,4312.06,0.3757
604.0,4310.67,0.3663
604.5,4309.29,0.3551
605.0,4307.9,0.3628
605.5,4306.53,0.4389
606.0,4305.17,0.6524
606.5,4371.24,0.6282
607.0,4486.63,0.59
607.5,4602.02,0.508
608.0,4717.4,0.3988
608.5,4832.79,0.337
609.0,4948.18,0.3716
609.5,5063.57,0.3605
610.0,5178.96,0.3361
610.5,5192.2,0.3943
611.0,5184.16,0.5566
611.5,5176.11,0.3672
612.0,5168.07,0.3278
612.5,5160.03,0.339
613.0,5151.98,0.5422
613.5,5143.94,0.7046
614.0,5135.9,0.5715
614.5,4983.69,0.4693
615.0,4818.15,0.4573
615.5,4633.44,0.5304
616.0,4448.73,0.6684
616.5,4264.02,0.6615
617.0,4079.31,0.4945
617.5,3894.6,0.5098
618.0,3821.4,0.4934
618.5,3814.17,0.473
619.0,3806.94,0.561
619.5,3799.71,0.6027
620.0,3792.48,0.5328
620.5,3785.67,0.524
621.0,3778.87,0.4947
621.5,3773.72,0.4089
622.0,3771.2,0.4027
622.5,3768.68,0.4049
623.0,3766.17,0.4491
623.5,3763.65,0.3843
624.0,3761.14,0.3965
624.5,3758.62,0.4802
625.0,3756.1,0.5129
625.5,3723.02,0.5364
626.0,3684.26,0.5887
626.5,3645.5,0.5347
627.0,3606.73,0.4454
627.5,3567.97,0.4181
628.0,3529.21,0.3854
628.5,3490.44,0.3859
629.0,3451.68,0.414
629.5,3482.99,0.3821
630.0,3527.97,0.4364
630.5,3571.81,0.3754
631.0,3615.65,0.428
631.5,3659.49,0.3754
632.0,3703.33,0.3241
632.5,3747.17,0.4015
633.0,3791.02,0.4274
633.5,3877.04,0.4233
634.0,3983.83,0.357
634.5,4090.61,0.3678
635.0,4197.4,0.3765
635.5,4303.08,0.3753
636.0,4408.75,0.3809
636.5,4514.43,0.4216
637.0,4620.1,0.4091
637.5,4657.5,0.4285
638.0,4595.79,0.4396
638.5,4534.09,0.3917
639.0,4472.38,0.3653
639.5,4410.68,0.3672
640.0,4348.97,0.423
640.5,4289.01,0.3764
641.0,4229.05,0.3482
641.5,4168.23,0.3814
642.0,4070.12,0.368
642.5,3972.02,0.3733
643.0,3873.91,0.3821
643.5,3775.8,0.3346
644.0,3677.69,0.3513
644.5,3579.59,0.3207
645.0,3481.48,0.3305
645.5,3386.78,0.3226
646.0,3346.85,0.3404
646.5,3381.05,0.336
647.0,3415.25,0.3356
647.5,3449.44,0.3278
648.0,3483.64,0.3446
648.5,3517.84,0.3548
649.0,3552.03,0.3778
649.5,3586.23,0.3763
650.0,3620.42,0.3932
650.5,3667.49,0.3467
651.0,3722.4,0.3266
651.5,3777.3,0.3603
652.0,3832.21,0.3523
652.5,3887.11,0.3601
653.0,3942.02,0.3764
653.5,3996.92,0.3722
654.0,4051.83,0.3438
654.5,4094.5,0.3516
655.0,4036.32,0.3551
655.5,3979.28,0.3543
656.0,3922.24,0.3514
656.5,3865.2,0.3499
657.0,3808.17,0.3577
657.5,3751.13,0.3427
658.0,3694.09,0.3617
658.5,3637.05,0.3677
659.0,3594.51,0.3622
659.5,3567.97,0.3619
660.0,3541.43,0.3374
660.5,3514.77,0.3432
661.0,3488.11,0.3571
661.5,3461.45,0.3656
662.0,3434.79,0.3512
662.5,3408.13,0.366
663.0,3381.47,0.3564
663.5,3381.3,0.3334
664.0,3385.86,0.3388
664.5,3390.41,0.3321
665.0,3394.97,0.3568
665.5,3399.41,0.3621
666.0,3403.86,0.3414
666.5,3408.31,0.3236
667.0,3412.75,0.2969
667.5,3421.67,0.3195
668.0,3465.13,0.3314
668.5,3508.58,0.3426
669.0,3552.04,0.3489
669.5,3595.49,0.3394
670.0,3638.94,0.3347
670.5,3684.88,0.3629
671.0,3730.83,0.3542
671.5,3776.77,0.3533
672.0,3841.0,0.3307
672.5,3924.54,0.3393
673.0,4008.08,0.3239
673.5,4091.62,0.3326
674.0,4175.15,0.3261
674.5,4258.69,0.3376
675.0,4342.23,0.3376
675.5,4425.74,0.3343
676.0,4507.24,0.344
676.5,4575.85,0.3491
677.0,4644.47,0.3347
677.5,4713.08,0.3137
678.0,4781.69,0.3631
678.5,4850.31,0.3415
679.0,4918.92,0.3283
679.5,4987.53,0.3296
680.0,5056.14,0.3338
680.5,4998.9,0.3316
681.0,4907.64,0.3343
681.5,4816.37,0.3235
682.0,4725.11,0.3243
682.5,4633.84,0.3336
683.0,4542.58,0.3264
683.5,4451.31,0.3399
684.0,4360.04,0.335
684.5,4295.64,0.3378
685.0,4232.84,0.3036
685.5,4162.7,0.365
686.0,4092.57,0.3332
686.5,4022.43,0.3479
687.0,3952.3,0.3624
687.5,3882.16,0.335
688.0,3937.68,0.3201
688.5,4043.98,0.3298
689.0,4150.28,0.3258
689.5,4256.58,0.3194
690.0,4362.88,0.3151
690.5,4468.12,0.3266
691.0,4573.36,0.365
691.5,4661.54,0.3653
692.0,4740.98,0.3655
692.5,4820.42,0.3659
693.0,4899.86,0.3662
693.5,4979.3,0.3664
694.0,5058.74,0.3668
694.5,5138.18,0.3671
695.0,5147.09,0.3673
695.5,5101.26,0.3677
696.0,5055.43,0.368
696.5,5009.6,0.3682
697.0,4963.77,0.3686
697.5,4917.94,0.3689
698.0,4872.11,0.3692
698.5,4851.22,0.3695
699.0,4862.32,0.3698
699.5,4873.42,0.3701
700.0,4884.52,0.3704
700.5,4895.25,0.3707
701.0,4905.98,0.3709
701.5,4916.71,0.3712
702.0,4925.92,0.3715
702.5,4928.44,0.3718
703.0,4930.95,0.3721
703.5,4933.46,0.37
704.0,4935.98,0.3638
704.5,4938.49,0.3481
705.0,4941.01,0.3418
705.5,4943.52,0.3427
706.0,4862.31,0.3344
706.5,4761.94,0.3125
707.0,4661.57,0.3187
707.5,4561.2,0.3393
708.0,4460.84,0.3608
708.5,4360.47,0.3454
709.0,4260.1,0.3336
709.5,4194.81,0.3352
710.0,4173.7,0.3166
710.5,4152.6,0.3452
711.0,4131.49,0.3243
711.5,4110.38,0.3308
712.0,4089.28,0.3168
712.5,4068.17,0.3147
713.0,4053.04,0.3083
